zn,fe,cu,mn,b,s,district_name,zn_adequate,fe_adequate,cu_adequate,mn_adequate,b_adequate,s_adequate,soil_quality_index
83.48,67.8,95.33,99.7,68.68,86.04,Banas Kantha,1,1,1,1,1,1,1.0
62.44,81.53,93.67,99.64,63.43,71.56,Bharuch,1,1,1,1,1,1,1.0
51.38,57.63,91.79,96.95,30.24,70.07,Bhavnagar,1,1,1,1,0,1,0.8333333333333334
14.98,90.56,95.68,98.81,36.05,98.14,Botad,0,1,1,1,0,1,0.6666666666666666
78.63,94.98,96.66,99.27,72.01,78.75,Chhotaudepur,1,1,1,1,1,1,1.0
47.54,73.8,99.31,95.87,76.24,60.87,Dahod,0,1,1,1,1,1,0.8333333333333334
97.32,99.47,97.86,100.0,86.35,64.12,Dang,1,1,1,1,1,1,1.0
80.37,94.15,97.22,95.82,39.38,93.75,Devbhumidwarka,1,1,1,1,0,1,0.8333333333333334
91.68,93.95,98.05,99.86,94.66,61.0,Gandhinagar,1,1,1,1,1,1,1.0
38.62,89.98,80.32,80.85,26.04,91.23,Girsomnath,0,1,1,1,0,1,0.6666666666666666
70.47,90.2,98.82,93.64,40.45,85.63,Jamnagar,1,1,1,1,0,1,0.8333333333333334
30.26,61.46,77.23,74.79,2.1,99.58,Junagadh,0,1,1,1,0,1,0.6666666666666666
66.26,44.82,86.88,75.77,1.66,97.09,Kachchh,1,0,1,1,0,1,0.6666666666666666
65.87,81.8,94.29,99.74,61.5,40.66,Kheda,1,1,1,1,1,0,0.8333333333333334
95.36,62.78,99.04,99.54,24.49,98.45,Mahesana,1,1,1,1,0,1,0.8333333333333334
56.48,95.8,98.79,99.88,90.33,55.8,Mahisagar,1,1,1,1,1,1,1.0
92.07,70.59,91.52,99.97,13.14,49.62,Morbi,1,1,1,1,0,0,0.6666666666666666
66.12,93.77,99.72,99.75,88.52,85.75,Narmada,1,1,1,1,1,1,1.0
80.39,90.45,96.39,98.72,77.48,69.29,Navsari,1,1,1,1,1,1,1.0
45.49,81.67,84.29,99.76,78.73,19.63,Panch Mahals,0,1,1,1,1,0,0.6666666666666666
90.69,63.28,98.07,99.45,79.44,67.87,Patan,1,1,1,1,1,1,1.0
44.1,29.26,90.14,57.15,34.19,74.87,Porbandar,0,0,1,1,0,1,0.5
52.45,64.98,94.49,98.94,10.34,67.24,Rajkot,1,1,1,1,0,1,0.8333333333333334
82.52,90.19,90.92,99.61,59.09,88.17,Sabar Kantha,1,1,1,1,1,1,1.0
81.17,85.54,98.07,99.59,41.85,89.64,Surat,1,1,1,1,0,1,0.8333333333333334
82.03,56.06,92.83,96.52,19.64,89.99,Surendranagar,1,1,1,1,0,1,0.8333333333333334
75.53,85.34,95.91,100.0,55.94,85.13,Tapi,1,1,1,1,1,1,1.0
66.5,91.05,96.94,99.21,92.01,80.05,Vadodara,1,1,1,1,1,1,1.0
57.58,97.85,92.41,99.13,73.1,87.79,Valsad,1,1,1,1,1,1,1.0
